Information Technology,4.460931677981221
Financials,6.146181309916289
Consumer Discretionary,4.859574775536791
Industrials,4.365028983356308
Communication Services,3.5042991452916348
Health Care,1.3604364986541064
Energy,1.6392636960635052
Real Estate,0.67255499588122
Consumer Staples,1.3330393170833799
Utilities,2.155635086924676
Materials,0.7203678411754246
Cash,1.3340588268504148
Banks,2.766286386714576
Capital Goods,0.9673326796746217
Pharmaceuticals Biotechnology & Life Sci,0.8524674509038882
Food Beverage & Tobacco,0.6469619047038438
Insurance,1.3003903453937122
Software & Services,0.4414563585037994
Consumer Durables & Apparel,0.4186224089260166
Financial Services,1.4436292761162135
Consumer Discretionary Distribution & Re,0.3196752940889582
Commercial & Professional Services,0.19789422967411693
Telecommunication Services,0.1826715966222618
Semiconductors & Semiconductor Equipment,0.1598376470444791
Automobiles & Components,0.09894711483705847
Technology Hardware & Equipment,0.0913357983111309
Media & Entertainment,0.08372448178520332
Consumer Staples Distribution & Retail,0.06089053220742059
Health Care Equipment & Services,0.038056582629637875
Financial Institutions,1.6803592568959838
Consumer Non-Cyclicals,0.3818998311127236
Consumer Cyclicals,0.23717989511211252
Technology,6.1359633682387305
Communications,0.184919918223003
Transportation,0.08441996266702312
Basic Industry,0.06431997155582712
Non-Corporate Credit,0.05576513115809303
Other Industrial,0.004019998222239195
Other,0.004019998222239195
Pharmaceuticals,1.976004976550737
Biotechnology,1.3093285254956255
Health Care Equipment & Supplies,1.1411578891934349
Health Care Providers & Services,0.9369506879693466
Life Sciences Tools & Services,0.48048753229197266
Health Care Technology,0.10810969476569385
Technology - Semi & Hardware,2.654230822389935
Media,2.066146267027463
Industrial Cyclicals,1.5104480429911333
Technology - Software,1.5595237882001718
Pharm/Medtech,1.3233975893768521
Retail,1.0643032096933376
Automobiles & Auto Parts,0.46432112730297986
Consumer Cyclical & Services,0.2703306567598973
Basic Industries,0.19068546381035933
Property,0.14904536223755133
Health Services & Systems,0.12954718984175723
Telecommunications,0.044465562872684425
HY Corporate,0.71012952577895
Non-agency MBS,0.36532675025622285
Cash & Equivalent,0.20523974733495667
EM Quasi & Sovereigns,0.17240138776136357
IG Corporate,0.1395630281877705
Currency,0.10672466861417745
EM Corporates,0.02873356462689393
Managed Funds,0.038808536198650025
Electric Appliances,1.3798125706958098
Other Products,0.627187532134459
Machinery,0.5770125295637023
Retail Trade,0.5142937763502563
Wholesale Trade,0.36376876863798613
Services,0.34495314267395244
Chemicals,0.33240939203126324
Information & Communication,0.3135937660672295
Precision Instruments,0.25714688817512815
Transportation Equipment,0.16306875835495935
Metal Products,0.15679688303361475
Glass & Ceramics,0.15052500771227015
Other Financing Business,0.11289375578420263
Construction,0.07526250385613507
Iron & Steel,0.0627187532134459
Securities & Commodity Futures,0.01881562596403377
Pharmaceutical,0.0
Foods,0.0
Land Transportation,0.0
Electric Power & Gas,0.0
Non-Ferrous Metals,0.0
Rubber Products,0.0
Marine Transportation,0.0
Oil & Coal Products,0.0
Textiles & Apparels,0.0
Air Transportation,0.0
Warehousing & Harbour Transport Serv.,0.0
Mining,0.0
Pulp & Paper,0.0
"Fishery, Agriculture & Forestry",0.0
Basic Materials,0.0
Software,5.448437517116897
Internet,3.3476718077807797
Semiconductors,2.5751321598313694
IT Services,0.7860929751064178
Data-Comm/Tele-Comm,0.5963463949083172
Hardware,0.5285797591232811
Service Provider,0.13553327157007206
